9
0.0	0.0	-10.0
5.10	-10.49	-11.39	28.44
5.13	-10.64	-10.75	29.60
5.16	-10.55	-9.81	30.45
5.19	-10.29	-8.93	30.83
5.21	-9.90	-8.02	30.91
5.23	-9.41	-7.19	30.70
5.26	-8.84	-6.46	30.23
5.28	-8.22	-5.88	29.53
5.31	-7.61	-5.49	28.63
5.34	-7.03	-5.31	27.57
5.37	-6.55	-5.36	26.39
5.41	-6.23	-5.69	25.12
5.45	-6.15	-6.25	24.06
5.49	-6.32	-7.07	23.20
5.53	-6.74	-8.08	22.73
5.57	-7.37	-9.22	22.74
5.60	-8.06	-10.22	23.22
5.64	-8.83	-11.11	24.14
5.67	-9.50	-11.67	25.31
5.70	-10.10	-11.91	26.71
5.72	-10.51	-11.76	28.02
5.75	-10.75	-11.28	29.25
5.78	-10.78	-10.48	30.26
5.80	-10.59	-9.47	30.93
5.83	-10.20	-8.38	31.20
5.86	-9.65	-7.34	31.06
5.88	-9.00	-6.46	30.59
5.91	-8.32	-5.78	29.85
5.93	-7.67	-5.33	28.95
5.96	-7.05	-5.10	27.87
6.00	-6.52	-5.09	26.66
6.03	-6.12	-5.36	25.35
6.07	-5.97	-5.89	24.14
6.11	-6.08	-6.70	23.12
6.15	-6.46	-7.72	22.49
6.19	-7.08	-8.91	22.35
6.22	-7.81	-10.04	22.72
6.26	-8.65	-11.09	23.63
6.29	-9.37	-11.77	24.77
6.32	-10.07	-12.14	26.27
6.35	-10.53	-12.11	27.62
6.37	-10.86	-11.70	29.00
6.40	-10.97	-10.94	30.19
6.43	-10.84	-9.90	31.04
6.45	-10.54	-8.88	31.44
6.47	-10.09	-7.86	31.49
6.49	-9.53	-6.92	31.23
6.52	-8.90	-6.14	30.71
6.54	-8.22	-5.50	29.94
6.57	-7.53	-5.05	28.96
6.60	-6.88	-4.83	27.81
6.63	-6.33	-4.85	26.53
6.66	-5.92	-5.14	25.15
6.70	-5.77	-5.65	23.98
6.74	-5.86	-6.45	22.91
6.78	-6.22	-7.46	22.20
6.82	-6.82	-8.66	21.95
6.85	-7.64	-9.96	22.27
6.89	-8.42	-11.00	23.04
6.92	-9.30	-11.91	24.33
6.95	-9.96	-12.35	25.67
6.97	-10.57	-12.45	27.27
7.00	-10.99	-12.07	28.89
7.03	-11.16	-11.24	30.31
7.05	-11.07	-10.27	31.19
7.08	-10.79	-9.16	31.71
7.10	-10.32	-8.02	31.85
7.12	-9.73	-6.96	31.63
7.15	-9.06	-6.07	31.10
7.17	-8.36	-5.38	30.35
7.20	-7.62	-4.87	29.36
7.22	-6.92	-4.58	28.19
7.25	-6.30	-4.53	26.88
7.29	-5.82	-4.75	25.46
7.33	-5.56	-5.28	24.01
7.36	-5.58	-5.95	22.93
7.39	-5.81	-6.80	22.11
7.43	-6.25	-7.82	21.62
7.46	-6.92	-9.05	21.55
7.50	-7.88	-10.50	22.12
7.53	-8.68	-11.50	23.03
7.57	-9.60	-12.37	24.52
7.59	-10.26	-12.74	25.97
7.62	-10.85	-12.74	27.67
7.64	-11.24	-12.24	29.34
7.67	-11.37	-11.29	30.78
7.69	-11.25	-10.24	31.64
7.72	-10.93	-9.06	32.13
7.74	-10.43	-7.87	32.23
7.76	-9.81	-6.78	31.98
7.78	-9.11	-5.86	31.42
7.81	-8.35	-5.11	30.61
7.83	-7.57	-4.58	29.57
7.86	-6.82	-4.27	28.34
7.89	-6.15	-4.21	26.97
7.92	-5.63	-4.41	25.49
7.96	-5.31	-5.00	23.77
7.99	-5.30	-5.58	22.76
8.03	-5.51	-6.42	21.85
8.06	-5.92	-7.44	21.24
8.09	-6.53	-8.62	21.02
8.13	-7.44	-10.08	21.36
8.16	-8.37	-11.36	22.24
8.20	-9.38	-12.44	23.72
8.22	-10.14	-13.00	25.23
8.25	-10.85	-13.17	27.09
8.27	-11.31	-12.88	28.74
8.30	-11.57	-12.17	30.28
8.32	-11.58	-11.06	31.56
8.34	-11.36	-9.86	32.31
8.36	-10.95	-8.59	32.66
8.39	-10.37	-7.36	32.61
8.41	-9.68	-6.26	32.22
8.43	-8.93	-5.36	31.56
8.45	-8.11	-4.63	30.62
8.48	-7.29	-4.13	29.47
8.50	-6.50	-3.87	28.13
8.53	-5.82	-3.86	26.68
8.57	-5.30	-4.12	25.10
8.59	-5.06	-4.51	23.89
8.63	-4.99	-5.11	22.68
8.66	-5.13	-5.88	21.68
8.69	-5.46	-6.81	20.93
8.72	-6.01	-7.96	20.50
8.76	-6.82	-9.37	20.53
8.80	-7.94	-11.04	21.31
8.83	-8.85	-12.17	22.42
8.86	-9.91	-13.17	24.23
8.88	-10.63	-13.56	25.87
8.91	-11.29	-13.54	27.84
8.93	-11.74	-12.95	29.78
8.96	-11.89	-11.84	31.45
8.98	-11.77	-10.65	32.43
9.00	-11.42	-9.27	33.03
9.02	-10.87	-7.87	33.19
9.04	-10.17	-6.59	32.93
9.06	-9.38	-5.49	32.34
9.08	-8.55	-4.64	31.49
9.11	-7.66	-3.99	30.38
9.13	-6.79	-3.57	29.07
9.16	-6.00	-3.42	27.61
9.19	-5.33	-3.51	26.04
9.23	-4.83	-3.90	24.27
9.26	-4.66	-4.38	23.01
9.29	-4.68	-5.08	21.78
9.32	-4.91	-5.94	20.80
9.35	-5.34	-6.99	20.10
9.39	-5.98	-8.22	19.77
9.42	-6.92	-9.82	19.96
9.46	-8.17	-11.63	21.00
9.49	-9.12	-12.77	22.27
9.52	-10.23	-13.77	24.32
9.54	-10.97	-14.11	26.10
9.56	-11.65	-14.00	28.22
